State,Math Grade,English Grade,College Readiness Grade,Parental Rights,Description 
Alabama,F,D,D,D,"Alabama’s education system shows mixed but generally below‑average performance. Math performance is weak, with 8th‑grade NAEP scores at 262 (well below the national average of ~272), placing it in the lower third of states. English/language arts is a critical area of concern, with 4th‑grade reading at 213, among the lowest nationally. College readiness is also below par, reflected in an average SAT of 1172 and an ACT of 18 – both trailing national norms – which translates to a modest share of students meeting college‑ready benchmarks. Parental rights policies are limited, with few curriculum transparency mandates, weak open‑enrollment provisions, and minimal budget transparency, earning a D."
Alaska,F,F,D,D,"Alaska struggles significantly across core academics. Math performance is critically low, with 8th‑grade NAEP scores at 264, and reading is even more concerning at 202 – the second‑lowest in the nation – resulting in F grades for both. College readiness remains below average, with SAT scores averaging 1097 and ACT at 19.9, indicating that fewer than half of students meet the 1010/21 thresholds. Parental rights policies receive a D, as the state lacks comprehensive curriculum transparency, offers limited open‑enrollment options, and provides inconsistent budget disclosure, leaving families with few levers for engagement."
Arizona,D,F,D,C,"Arizona’s math performance is subpar, with NAEP scores at 270 (just under the national mean), while reading falls to 208 – one of the lowest in the country – driving the F in English. College readiness is similarly weak, with average SAT of 1194 (slightly above national average but offset by a low ACT of 17.7), resulting in a D grade for readiness. Parental rights are moderately better at C, supported by some open‑enrollment policies and partial budget transparency, though curriculum transparency mandates remain incomplete."
Arkansas,F,F,D,A,"Arkansas faces serious academic challenges, with 8th‑grade math at 266 and 4th‑grade reading at 210 – both well below national averages – earning Fs in both subjects. College readiness is below average, with SAT of 1165 and ACT of 18.5, placing it in the D range. However, the state excels in Parental Rights with an A, driven by robust curriculum transparency mandates, broad open‑enrollment policies, and comprehensive district‑level budget transparency that give parents strong oversight and choice."
California,D,D,A,F,"California posts below‑average scores in math (269) and reading (212), earning Ds in both, despite its large, diverse student population. College readiness is a bright spot – an A – thanks to high SAT (1096) and notably high ACT (26.5) averages, indicating that a strong proportion of students reach the 1010/21 benchmarks. Parental rights, however, are critically lacking (F), with minimal curriculum transparency, restrictive open‑enrollment options, and poor budget transparency, leaving parents with little formal influence."
Colorado,B,A,C,D,"Colorado performs well academically, with math NAEP at 278 (above average) and reading at 221 (well above average), earning a B and an A, respectively. College readiness is middling (C), as SAT scores average 987 (relatively low) but ACT averages 24.7 (high), balancing out to a moderate readiness grade. Parental rights are limited at D, with only sporadic curriculum transparency, uneven open‑enrollment access, and weak budget‑disclosure rules."
Connecticut,B,A,B,F,"Connecticut demonstrates strong academics, with math at 277 (B) and reading at 219 (A), both comfortably above national norms. College readiness is above average (B), driven by a high ACT of 26.5, though SAT averages 989 – a mixed picture that still yields solid readiness. Parental rights are severely lacking (F), as the state offers little curriculum transparency, no meaningful open‑enrollment policies, and poor fiscal transparency, despite its strong test scores."
Delaware,F,F,D,D,"Delaware faces substantial hurdles, with math at 263 and reading at 210 – both well below average – resulting in Fs in both core subjects. College readiness is subpar (D), with SAT averaging 933 (very low) and ACT at 25 (high), but the low SAT drags the overall composite down. Parental rights are also weak (D), with few transparency mandates, limited choice policies, and inadequate budget reporting."
Florida,F,B,F,A,"Florida shows a stark contrast: math is very weak at 267 (F), but reading is strong at 218 (B), well above the national average. College readiness is critically low (F), with SAT at 948 and ACT at 19 – both well below the benchmarks. On the other hand, Parental Rights earn an A, underpinned by strong curriculum transparency laws, expansive open‑enrollment options, and detailed district budget transparency, giving parents exceptional oversight."
Georgia,D,D,F,B,"Georgia’s math (269) and reading (214) both sit near the national average but slightly below, resulting in Ds for both. College readiness is a weak point (F), with SAT at 1039 and ACT at 21.2 – the SAT is notably low, pulling the combined metric down. Parental rights are solid (B), with good curriculum transparency, functional open‑enrollment policies, and above‑average budget transparency."
Hawaii,D,C,F,F,"Hawaii posts below‑average math at 270 (D) and average reading at 216 (C). College readiness is very poor (F), with SAT of 1124 (slightly above average) but a very low ACT of 17.7, which severely limits the number of students meeting the ACT benchmark. Parental rights are critically deficient (F), with almost no curriculum transparency, no open‑enrollment options, and no budget transparency."
Idaho,B,B,F,B,"Idaho performs well in core academics, with math at 278 (B) and reading at 216 (B), both above national averages. College readiness, however, is very weak (F), because SAT averages only 941 while ACT is 23.3 – the low SAT drags the combined score into the failing range. Parental rights are strong (B), supported by clear curriculum mandates, open‑enrollment policies, and reasonable budget transparency."
Illinois,B,C,D,F,"Illinois shows good math performance (277, B) but only average reading (214, C). College readiness is below average (D), with SAT at 971 (low) and ACT at 24.5 (high) – the SAT pulls the grade down. Parental rights are lacking (F), with poor curriculum transparency, restrictive choice policies, and weak budget disclosure."
Indiana,B,A,D,B,"Indiana earns a B in math (278) and an A in reading (220), reflecting strong academic achievement. College readiness is below average (D), because SAT averages 973 (low) while ACT is 23.3 – the SAT underperformance hurts the overall readiness score. Parental rights are solid (B), with good transparency mandates, open‑enrollment access, and district budget reporting."
Iowa,C,C,A,A,"Iowa’s math (275) and reading (215) are right around the national averages, earning C grades. College readiness is exceptional (A), driven by a very high SAT of 1235 and a respectable ACT of 21, ensuring a large share of students meet the benchmarks. Parental rights are also top‑tier (A), with comprehensive curriculum transparency, broad open‑enrollment policies, and excellent budget transparency."
Kansas,C,D,B,C,"Kansas has average math at 274 (C) but below‑average reading at 213 (D). College readiness is above average (B), thanks to a high SAT of 1228, though ACT is lower at 19.3 – the SAT strength lifts the composite. Parental rights are moderate (C), with some transparency and choice policies but lacking full implementation across all pillars."
Kentucky,C,A,C,D,"Kentucky posts average math at 271 (C) and excellent reading at 218 (A), well above the national mean. College readiness is average (C), with SAT of 1219 (high) but ACT of 18.6 (low) – the two balance out. Parental rights are limited (D), with weak curriculum transparency, modest open‑enrollment options, and poor budget transparency."
Louisiana,F,B,C,A,"Louisiana shows a wide gap: math is very low at 267 (F), while reading is strong at 216 (B). College readiness is average (C), with SAT of 1184 and ACT of 18.2 – the SAT is decent, but the ACT is low. Parental rights are outstanding (A), with strong curriculum transparency, robust open‑enrollment policies, and comprehensive budget transparency."
Maine,C,F,A,C,"Maine’s math at 273 is average (C), but reading at 210 is critically low (F). College readiness is excellent (A), driven by a very high ACT of 25, though SAT is modest at 1083 – the ACT boosts the combined score significantly. Parental rights are moderate (C), with some transparency mandates but incomplete choice and budget policies."
Maryland,D,B,C,F,"Maryland’s math at 268 is below average (D), but reading at 216 is above average (B). College readiness is average (C), with SAT of 1018 and ACT of 24.7 – the ACT is strong, but the SAT is borderline. Parental rights are critically weak (F), with limited curriculum transparency, restrictive open enrollment, and poor budget transparency."
